ProductID,Name,Base Price
P001,Bananas (Soft Fruit),7
P002,Beetroot (Root),5
P003,Black Currants (Soft Fruit),5.8
P004,Blackberries (Soft Fruit),8.5
P005,Braeburn Apples (Hard Fruit),5
P006,Bramley Apples (Hard Fruit),5
P007,Brocolli (Greens),6
P008,Brussel Sprouts (Greens),4
P009,Cara Potatoes (Root),4.5
P010,Carrots (Root),3
P011,Celery Heads (Salad),7.5
P012,Cherry Tomatoes (Salad),5.8
P013,Clementine (Citrus),7
P014,Conference Pears (Hard Fruit),5
P015,Cucumbers (Salad),8
P016,Gooseberries (Soft Fruit),7
P017,Grapefruit (Citrus),6
P018,Green Pepper (Salad),6
P019,Kumquat (Soft Fruit),9
P020,Lemons (Citrus),6
P021,Lime (Citrus),6
P022,Maris Piper Potatoes (Root),4
P023,Merton Pride Pears (Hard Fruit),5
P024,Oranges (Citrus),6.5
P025,Parsnips (Root),3
P026,Plum Tomatoes (Salad),5.4
P027,Raspberries (Soft Fruit),8
P028,Red Currants (Soft Fruit),7.5
P029,Red Pepper (Salad),6
P030,Salad Tomatoes (Salad),7.5
P031,Satsuma (Citrus),6.5
P032,Spinach (Greens),6
P033,Strawberries (Soft Fruit),7
P034,Swede (Root),4
P035,Sweet Potatoes (Root),4
P036,Turnip (Root),4.5
P037,Yellow Pepper (Salad),6
